system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,subsample,tica,500,3,3,3,2,0.44610571485874795,2,0.44610571485874795,2,0.44610571485874795,2,0.44610571485874795,3,0.2924654050757223,0.2924654050757223
alanine,subsample,tica,500,4,3,3,2,0.4426785255745477,3,0.41713151656665987,2,0.4426785255745477,3,0.41713151656665987,2,0.4426785255745477,0.41713151656665987
alanine,subsample,tica,500,5,3,3,2,0.44081139633242067,2,0.44081139633242067,2,0.44081139633242067,2,0.44081139633242067,2,0.44081139633242067,0.4149890080548351
alanine,subsample,tica,500,6,3,3,2,0.45391688059650026,2,0.45391688059650026,2,0.45391688059650026,2,0.45391688059650026,3,0.4298110877261967,0.4298110877261967
alanine,subsample,tica,500,7,3,3,2,0.44610571485874795,5,0.256920363723644,2,0.44610571485874795,2,0.44610571485874795,3,0.2875116153820852,0.2875116153820852
alanine,subsample,vae,500,0,3,3,1,0.0,7,0.35565766584029496,1,0.0,3,0.3672713669360222,2,0.7681105071220743,0.3672713669360222
alanine,subsample,vae,500,1,3,3,1,0.0,7,0.3462465364883855,1,0.0,15,0.1925694380147356,2,0.22586130178053612,0.308455711161679
alanine,subsample,vae,500,2,3,3,1,0.0,5,0.3968654465013427,1,0.0,3,0.24270145572798418,2,0.2397183928594833,0.24270145572798418
alanine,subsample,vae,500,3,3,3,1,0.0,2,0.0721353361198928,1,0.0,3,0.26391874880785554,3,0.26391874880785554,0.26391874880785554
alanine,subsample,vae,500,4,3,3,1,0.0,11,0.32270706350105527,1,0.0,12,0.25298426643494465,3,0.3402451698865483,0.3402451698865483
alanine,subsample,vae,500,5,3,3,1,0.0,11,0.2568854185298986,1,0.0,3,0.3418304987519264,2,0.7017926729882228,0.3418304987519264
alanine,subsample,vae,500,6,3,3,1,0.0,5,0.3976071998884674,1,0.0,3,0.34318856280522875,3,0.34318856280522875,0.34318856280522875
alanine,subsample,vae,500,7,3,3,1,0.0,4,0.4956799889511996,1,0.0,3,0.4156194324495939,2,0.6882753175230633,0.4156194324495939
alanine,subsample,pca,1000,0,3,3,7,0.21893313564387978,7,0.21893313564387978,4,0.4462591850889019,3,0.4395023734214586,2,0.7282295137833164,0.4395023734214586
alanine,subsample,pca,1000,1,3,3,7,0.2831018535262078,10,0.16848400321476228,4,0.4612125395650661,3,0.4724190806224126,2,0.7770737874982252,0.4724190806224126
alanine,subsample,pca,1000,2,3,3,6,0.2902789399138182,8,0.19547958313430747,4,0.4486881445377325,3,0.4432238228622906,2,0.7481780797562733,0.4432238228622906
alanine,subsample,pca,1000,3,3,3,8,0.21773691195302824,9,0.2626179706027204,4,0.427795467110899,3,0.44174603726078426,2,0.7490432825646192,0.44174603726078426
